time,E,I,C,delta_phi
8.0800,0.502159,0.056938,211.494905,0.227909
8.1000,0.502180,0.056486,212.456122,0.240550
8.1200,0.502205,0.056529,212.172426,0.236446
8.1400,0.502279,0.056587,212.314788,0.237329
8.1600,0.502362,0.056479,212.377318,0.237236
8.1800,0.502325,0.056731,210.733029,0.216678
8.2000,0.502387,0.056758,210.438416,0.212383
8.2200,0.502238,0.056721,211.107909,0.222328
8.2400,0.502359,0.056525,211.020671,0.219941
8.2600,0.502238,0.056771,210.045753,0.209653
8.2800,0.502330,0.056738,209.247614,0.199624
8.3000,0.502283,0.056812,208.887365,0.196277
8.3200,0.502027,0.056861,209.155569,0.202325
8.3400,0.502050,0.056888,208.740452,0.197595
8.3600,0.501900,0.056647,208.903304,0.201490
8.3800,0.501840,0.056683,208.927047,0.202480
8.4000,0.502152,0.056873,207.266807,0.181705
8.4200,0.502121,0.056893,207.020167,0.179796
8.4400,0.502088,0.056885,207.378968,0.183553
8.4600,0.502103,0.056892,207.919776,0.188568
8.4800,0.502175,0.056787,207.588905,0.184546
8.5000,0.502242,0.056796,207.371802,0.181637
8.5200,0.502109,0.056854,206.761724,0.177651
8.5400,0.501536,0.056237,209.453282,0.212663
8.5600,0.501429,0.056043,208.555861,0.204728
8.5800,0.501396,0.056090,208.028109,0.199798
8.6000,0.501012,0.056854,207.215829,0.196600
8.6200,0.501636,0.056949,201.785323,0.148622
8.6400,0.502324,0.057597,203.159298,0.146909
8.6600,0.502172,0.057626,201.743879,0.140772
8.6800,0.501510,0.057835,201.139327,0.146279
8.7000,0.501599,0.057785,200.975154,0.144373
8.7200,0.501679,0.057746,201.457555,0.145616
8.7400,0.502093,0.057155,202.284641,0.145116
8.7600,0.501883,0.057346,202.127727,0.146781
8.7800,0.502259,0.057230,200.901981,0.136033
8.8000,0.502507,0.057198,201.001536,0.133459
8.8200,0.502370,0.057407,200.243134,0.131710
8.8400,0.502563,0.057465,199.136612,0.125373
8.8600,0.503493,0.057572,199.880765,0.117197
8.8800,0.503879,0.057261,203.276104,0.130396
8.9000,0.503246,0.056911,206.762409,0.164064
8.9200,0.503519,0.056701,206.981103,0.163279
8.9400,0.503938,0.056541,208.115297,0.169918
8.9600,0.503048,0.056657,201.067104,0.127939
8.9800,0.502311,0.055717,209.151451,0.199834
9.0000,0.502499,0.055503,209.888033,0.205899
9.0200,0.503073,0.055949,207.956505,0.178202
9.0400,0.502944,0.055963,206.866051,0.169355
9.0600,0.502928,0.055938,207.615811,0.176563
9.0800,0.502900,0.055972,208.873028,0.189539
9.1000,0.503108,0.055980,207.430544,0.172690
9.1200,0.502992,0.055945,206.667709,0.167044
9.1400,0.502675,0.056054,206.465748,0.168854
9.1600,0.502810,0.056017,206.440544,0.167084
9.1800,0.503145,0.056151,204.751776,0.149483
9.2000,0.503386,0.055901,206.499615,0.161202
9.2200,0.503058,0.056269,205.600429,0.156920
9.2400,0.503116,0.056246,205.218567,0.153260
9.2600,0.502857,0.056365,205.274734,0.156548
9.2800,0.502905,0.056338,205.074076,0.154468
9.3000,0.502778,0.056323,204.972741,0.155185
9.3200,0.502185,0.056669,204.561520,0.159017
9.3400,0.501813,0.057042,203.492760,0.156096
9.3600,0.501841,0.057049,203.498305,0.155747
9.3800,0.501722,0.057108,202.952907,0.153860
9.4000,0.501232,0.057972,202.728258,0.158327
9.4200,0.501538,0.057873,200.362744,0.142489
9.4400,0.501529,0.057873,199.557848,0.139592
9.4600,0.501413,0.057967,199.025793,0.139351
9.4800,0.500757,0.057674,198.682970,0.147940
9.5000,0.500612,0.057467,199.699364,0.153500
9.5200,0.500605,0.057465,199.475833,0.152826
9.5400,0.501175,0.057974,197.378540,0.138688
9.5600,0.501422,0.057754,199.399845,0.140629
9.5800,0.501286,0.057642,199.560222,0.143157
9.6000,0.501220,0.057666,199.365015,0.143396
9.6200,0.501272,0.057716,199.711528,0.143806
9.6400,0.501588,0.057202,202.585275,0.153376
9.6600,0.501636,0.057279,202.935493,0.154722
9.6800,0.501512,0.057386,202.407939,0.153210
9.7000,0.501587,0.057216,202.591012,0.153411
9.7200,0.501586,0.057217,202.748129,0.154335
9.7400,0.501646,0.057273,202.538993,0.152266
9.7600,0.501804,0.057548,202.226672,0.148156
9.7800,0.501789,0.057571,201.478342,0.144434
9.8000,0.501763,0.057611,201.389879,0.144308
9.8200,0.501807,0.057589,201.393394,0.143768
9.8400,0.501779,0.057613,201.295111,0.143634
9.8600,0.501739,0.057447,204.684338,0.164899
9.8800,0.501747,0.057243,204.442555,0.163241
9.9000,0.501723,0.057347,203.526491,0.157194
9.9200,0.501689,0.057438,203.599762,0.158031
9.9400,0.501640,0.058227,202.958811,0.153872
9.9600,0.501631,0.058356,203.014208,0.154202
9.9800,0.501631,0.058065,204.385230,0.163566
10.0000,0.501626,0.058085,204.574067,0.164969
10.0200,0.501615,0.057857,206.922795,0.184559
10.0400,0.501591,0.057519,207.936530,0.194822
10.0600,0.501622,0.057619,208.091253,0.195832
10.0800,0.501615,0.057605,207.845699,0.193513
10.1000,0.501587,0.057696,207.751938,0.192884
10.1200,0.501583,0.057674,206.739057,0.183510
10.1400,0.501615,0.057760,207.734676,0.192284
10.1600,0.501647,0.057582,207.206934,0.187019
10.1800,0.501695,0.057556,207.201548,0.186352
10.2000,0.501754,0.057235,207.474296,0.188444
10.2200,0.501838,0.057045,207.211491,0.185065
10.2400,0.501817,0.057076,208.011835,0.192992
10.2600,0.502061,0.056850,206.671429,0.177459
10.2800,0.502104,0.056825,207.360151,0.183233
10.3000,0.502211,0.056741,207.257848,0.181010
10.3200,0.502324,0.056963,207.094016,0.177858
10.3400,0.502536,0.057290,206.783801,0.172120
10.3600,0.502359,0.057236,207.282359,0.178898
10.3800,0.502534,0.057171,208.025541,0.183998
10.4000,0.502510,0.057125,208.123294,0.185310
10.4200,0.502635,0.057060,208.156581,0.184196
10.4400,0.502441,0.057201,208.167398,0.186517
10.4600,0.503015,0.057825,202.494164,0.134501
10.4800,0.503397,0.057962,204.846530,0.145610
10.5000,0.503851,0.057766,205.736795,0.147983
10.5200,0.503732,0.057961,203.174528,0.130590
10.5400,0.503379,0.057592,205.430846,0.150679
10.5600,0.503226,0.057689,204.667015,0.146425
10.5800,0.503219,0.057679,205.362516,0.151808
10.6000,0.503344,0.057776,205.664626,0.152751
10.6200,0.503546,0.057517,205.797391,0.151907
10.6400,0.503664,0.057464,205.857542,0.151215
10.6600,0.503399,0.057450,205.606705,0.152006
10.6800,0.503215,0.057308,206.020455,0.157577
10.7000,0.503162,0.057325,205.861735,0.156834
10.7200,0.502847,0.057189,206.554997,0.166492
10.7400,0.502520,0.057225,206.550521,0.170303
10.7600,0.502410,0.057295,206.667047,0.172608
10.7800,0.503063,0.057324,204.082851,0.144454
10.8000,0.503764,0.057845,208.575302,0.175089
10.8200,0.502954,0.057363,207.702682,0.175676
10.8400,0.502750,0.057529,206.506844,0.166859
10.8600,0.503022,0.057639,204.988239,0.151179
10.8800,0.503597,0.058036,204.127583,0.138200
10.9000,0.503953,0.057722,207.373880,0.161395
10.9200,0.503193,0.057434,207.887001,0.174700
10.9400,0.502618,0.057738,209.943018,0.202862
10.9600,0.502636,0.057724,210.738532,0.211968
10.9800,0.502320,0.057428,210.981444,0.219058
11.0000,0.502903,0.057231,212.198887,0.227665
11.0200,0.502991,0.057203,212.636764,0.232495
11.0400,0.503274,0.057103,213.256723,0.237907
11.0600,0.503389,0.057200,212.337614,0.224063
11.0800,0.503104,0.057650,211.670398,0.218126
11.1000,0.502939,0.057899,209.829832,0.197650
11.1200,0.502723,0.058124,210.228855,0.204518
11.1400,0.503012,0.058205,209.055172,0.187976
11.1600,0.502873,0.058279,208.224094,0.180859
11.1800,0.502507,0.058238,208.640756,0.189514
11.2000,0.502367,0.058276,208.647287,0.191266
11.2200,0.502043,0.058453,208.454440,0.193172
11.2400,0.501985,0.058483,208.647607,0.195878
11.2600,0.502043,0.058418,208.962078,0.198512
11.2800,0.501650,0.058388,209.650949,0.211205
11.3000,0.501545,0.058404,210.064246,0.217280
11.3200,0.502278,0.058573,211.466494,0.224448
11.3400,0.502094,0.058518,210.021644,0.209476
11.3600,0.502034,0.058466,210.622029,0.217304
11.3800,0.502357,0.058622,208.884185,0.193536
11.4000,0.502197,0.058913,207.599154,0.182276
11.4200,0.501868,0.059280,208.371721,0.193776
11.4400,0.501863,0.059291,208.266635,0.192770
11.4600,0.501975,0.059195,207.934076,0.188093
11.4800,0.501886,0.059333,207.430115,0.184236
11.5000,0.501983,0.059306,207.153845,0.180419
11.5200,0.502325,0.058513,211.408299,0.223196
11.5400,0.502484,0.058648,211.778975,0.225800
11.5600,0.502063,0.058169,214.176177,0.264414
11.5800,0.502293,0.057776,215.764454,0.286116
11.6000,0.502432,0.057967,215.958196,0.287300
11.6200,0.502455,0.057977,214.924142,0.270867
11.6400,0.502640,0.057757,217.662918,0.313388
11.6600,0.502189,0.057791,217.023730,0.307986
11.6800,0.501911,0.057711,215.478961,0.286551
11.7000,0.501700,0.057406,216.281016,0.302404
11.7200,0.501578,0.057326,216.921861,0.314686
11.7400,0.501619,0.057305,216.916451,0.314066
11.7600,0.501690,0.057278,216.850681,0.312049
11.7800,0.501822,0.057418,217.722605,0.325010
11.8000,0.501703,0.057192,217.153803,0.317059
11.8200,0.501552,0.056538,218.972451,0.351765
11.8400,0.501653,0.056740,218.955423,0.349899
11.8600,0.501592,0.056752,218.285429,0.338614
11.8800,0.501595,0.056747,218.271547,0.338328
11.9000,0.501729,0.057225,217.422367,0.321254
11.9200,0.501739,0.057226,216.333765,0.302929
11.9400,0.501734,0.057274,216.156269,0.300065
11.9600,0.501721,0.057383,216.276664,0.302078
11.9800,0.501718,0.057481,216.674060,0.308538
12.0000,0.501709,0.057416,216.512429,0.306055
12.0200,0.501714,0.057524,216.356022,0.303332
12.0400,0.501711,0.057678,216.473372,0.305138
12.0600,0.501700,0.057611,216.314068,0.302747
12.0800,0.501718,0.057574,216.607433,0.307351
12.1000,0.501751,0.057750,216.320896,0.302048
12.1200,0.501811,0.057878,216.646629,0.306468
12.1400,0.501810,0.057879,216.550962,0.304897
12.1600,0.501703,0.058064,218.901969,0.346948
12.1800,0.501783,0.057551,218.552234,0.340058
12.2000,0.501878,0.057317,218.446993,0.337151
12.2200,0.501963,0.056984,218.900519,0.344573
12.2400,0.502080,0.056232,219.556013,0.355955
12.2600,0.502163,0.056176,219.992478,0.363216
12.2800,0.502037,0.056168,219.955838,0.364133
12.3000,0.502002,0.056217,219.982463,0.365036
12.3200,0.502016,0.056226,219.946727,0.364174
12.3400,0.501830,0.056211,220.023647,0.368071
12.3600,0.501681,0.055977,220.351517,0.376577
12.3800,0.501727,0.055980,221.056135,0.389798
12.4000,0.501374,0.055985,220.550574,0.384601
12.4200,0.501291,0.056031,220.848304,0.391546
12.4400,0.501648,0.056180,218.886824,0.349267
12.4600,0.501564,0.056321,218.796969,0.348621
12.4800,0.501473,0.056645,217.515419,0.326863
12.5000,0.501323,0.057022,217.627583,0.330479
12.5200,0.501391,0.056988,217.360130,0.324985
12.5400,0.501246,0.056912,218.485322,0.346766
12.5600,0.500883,0.056573,220.314329,0.386352
12.5800,0.501380,0.056457,220.602729,0.385063
12.6000,0.500818,0.057377,216.321519,0.315371
12.6200,0.501103,0.057221,215.194624,0.293579
12.6400,0.501341,0.057445,213.844091,0.269899
12.6600,0.501139,0.057652,215.821292,0.302457
12.6800,0.501431,0.057235,216.580071,0.311097
12.7000,0.501061,0.057231,216.821397,0.320260
12.7200,0.500999,0.057290,216.730015,0.319562
12.7400,0.501045,0.057262,216.595030,0.316702
12.7600,0.501624,0.057296,215.072928,0.284463
12.7800,0.502221,0.057600,216.087886,0.292358
12.8000,0.502041,0.057628,215.839447,0.290636
12.8200,0.502562,0.058009,213.910912,0.254524
12.8400,0.502491,0.058011,213.979103,0.256370
12.8600,0.502846,0.058330,213.917327,0.250927
12.8800,0.502490,0.058218,213.073115,0.243359
12.9000,0.502606,0.058199,213.222502,0.244048
12.9200,0.503048,0.057847,215.119991,0.266997
12.9400,0.503628,0.058844,210.694795,0.199183
12.9600,0.503926,0.058874,213.441914,0.231849
12.9800,0.503467,0.058805,212.108653,0.218630
13.0000,0.503618,0.058874,211.415007,0.208077
13.0200,0.503561,0.058899,211.641818,0.211517
13.0400,0.503352,0.058957,210.400678,0.198544
13.0600,0.503074,0.058642,211.747945,0.218479
13.0800,0.502537,0.058171,211.904577,0.227236
13.1000,0.502590,0.058178,211.834393,0.225694
13.1200,0.502554,0.058185,211.773247,0.225340
13.1400,0.502365,0.058102,212.672275,0.239535
13.1600,0.502672,0.058002,213.601779,0.248782
13.1800,0.502145,0.058500,212.124368,0.234623
13.2000,0.502314,0.058553,211.625359,0.226027
13.2200,0.502011,0.058712,210.478430,0.215651
13.2400,0.501877,0.058892,210.309303,0.215232
13.2600,0.502217,0.058579,208.573069,0.192065
13.2800,0.502685,0.057933,209.915904,0.201563
13.3000,0.502776,0.057829,210.269073,0.204654
13.3200,0.503066,0.057891,209.533465,0.192878
13.3400,0.502847,0.058191,208.791665,0.187093
13.3600,0.502320,0.057823,208.649881,0.192314
13.3800,0.501958,0.057757,210.483099,0.217332
13.4000,0.502142,0.057630,210.830007,0.219252
13.4200,0.502127,0.057628,210.804535,0.219127
13.4400,0.502014,0.057745,210.558640,0.217517
13.4600,0.502211,0.057769,209.736534,0.205493
13.4800,0.502188,0.057769,209.454208,0.202641
13.5000,0.501750,0.058233,209.390335,0.207131
13.5200,0.501487,0.058746,207.511232,0.190888
13.5400,0.501296,0.058650,209.786035,0.217277
13.5600,0.501440,0.058495,211.043438,0.230225
13.5800,0.501423,0.058499,209.894503,0.216903
13.6000,0.500979,0.057710,213.550454,0.270550
13.6200,0.500979,0.057710,213.272454,0.266638
13.6400,0.500903,0.057587,213.878075,0.276431
13.6600,0.500750,0.057799,212.718323,0.262255
13.6800,0.500533,0.057958,213.025582,0.269493
13.7000,0.500416,0.058095,212.775437,0.267706
13.7200,0.500469,0.058098,212.378690,0.261590
13.7400,0.500690,0.058172,213.085339,0.267784
13.7600,0.500604,0.058162,212.426259,0.260129
13.7800,0.500487,0.058880,212.108703,0.256991
13.8000,0.500302,0.059124,211.310233,0.249380
13.8200,0.500151,0.059062,211.407502,0.252982
13.8400,0.500087,0.059100,211.724857,0.257941
13.8600,0.500080,0.059111,211.712372,0.257881
13.8800,0.500056,0.059074,211.880472,0.260444
13.9000,0.500056,0.059075,212.102934,0.263331
13.9200,0.500062,0.059106,213.738966,0.285585
13.9400,0.500080,0.058736,213.624322,0.284029
13.9600,0.500072,0.058801,214.296115,0.293821
13.9800,0.500087,0.058369,213.935935,0.288748
14.0000,0.500087,0.058385,215.355573,0.310017
14.0200,0.500077,0.058133,214.379391,0.295624
14.0400,0.500078,0.058020,214.959672,0.304429
14.0600,0.500066,0.057969,215.025738,0.305676
14.0800,0.499995,0.058076,215.388057,0.312275
14.1000,0.499869,0.057083,215.431319,0.315920
14.1200,0.499792,0.057558,216.097162,0.327238
14.1400,0.499880,0.056810,215.569633,0.318189
14.1600,0.499982,0.056969,215.643953,0.317583
14.1800,0.499941,0.056944,215.568220,0.317063
14.2000,0.500054,0.057087,216.394916,0.328384
14.2200,0.499980,0.056849,216.605519,0.333243
14.2400,0.499922,0.056842,216.244271,0.328260
14.2600,0.499882,0.056878,216.387347,0.331189
14.2800,0.499937,0.056923,216.038714,0.324616
14.3000,0.499918,0.056972,215.302286,0.313240
14.3200,0.499834,0.057129,215.352764,0.315213
14.3400,0.499751,0.057324,215.790521,0.323215
14.3600,0.499595,0.057330,216.309501,0.334077
14.3800,0.499539,0.057458,216.715085,0.341524
14.4000,0.500038,0.057701,215.545828,0.314433
14.4200,0.499937,0.057587,215.181768,0.310474
14.4400,0.499934,0.057582,216.001793,0.323426
14.4600,0.500116,0.057384,216.857043,0.334752
14.4800,0.500181,0.057418,217.033004,0.336666
14.5000,0.500438,0.057142,218.443142,0.357512
14.5200,0.500048,0.057530,217.770448,0.351249
14.5400,0.500331,0.057316,216.857498,0.331530
14.5600,0.500279,0.057338,216.900311,0.333018
14.5800,0.500373,0.057335,217.500337,0.341756
14.6000,0.500652,0.057020,218.397377,0.353613
14.6200,0.500577,0.057010,218.275710,0.352570
14.6400,0.500285,0.056910,218.714241,0.364942
14.6600,0.499952,0.057028,219.200508,0.378907
14.6800,0.499710,0.057373,218.829496,0.375610
14.7000,0.499285,0.057176,220.244038,0.409311
14.7200,0.499295,0.057168,220.745941,0.418924
14.7400,0.499440,0.057338,219.989046,0.401679
14.7600,0.499715,0.057191,222.778358,0.453565
14.7800,0.498910,0.056649,223.537451,0.483880
14.8000,0.498522,0.056633,222.888035,0.476696
14.8200,0.498053,0.056166,224.880765,0.529659
14.8400,0.497643,0.056114,224.636969,0.531873
14.8600,0.497585,0.056136,224.611358,0.532374
14.8800,0.497257,0.056316,223.794838,0.520323
14.9000,0.497124,0.056313,224.542524,0.539618
14.9200,0.497173,0.056324,224.050436,0.527617
14.9400,0.497141,0.056330,223.988431,0.526876
14.9600,0.497666,0.057309,219.041002,0.415466
14.9800,0.497745,0.057266,220.621646,0.444003
15.0000,0.498903,0.059078,213.265569,0.297993
15.0200,0.499447,0.059365,215.261068,0.317859
15.0400,0.499473,0.059356,214.266953,0.302448
15.0600,0.499429,0.059371,215.327914,0.319200
15.0800,0.500207,0.059025,215.290254,0.306523
15.1000,0.500365,0.059073,215.474260,0.306919
15.1200,0.499962,0.059252,213.526808,0.283992
15.1400,0.499894,0.059205,213.441667,0.283916
