time,regime
4.74,stable
4.76,stable
4.78,stable
4.8,stable
4.82,stable
4.84,stable
4.86,stable
4.88,stable
4.9,stable
4.92,stable
4.94,stable
4.96,stable
4.98,stable
5.0,stable
5.02,stable
5.04,stable
5.06,stable
5.08,stable
5.1,stable
5.12,stable
5.14,stable
5.16,stable
5.18,stable
5.2,stable
5.22,stable
5.24,stable
5.26,stable
5.28,stable
5.3,stable
5.32,stable
5.34,stable
5.36,stable
5.38,stable
5.4,stable
5.42,stable
5.44,stable
5.46,stable
5.48,stable
5.5,stable
5.52,stable
5.54,stable
5.56,stable
5.58,stable
5.6,stable
5.62,stable
5.64,stable
5.66,stable
5.68,stable
5.7,stable
5.72,stable
5.74,stable
5.76,stable
5.78,stable
5.8,stable
5.82,stable
5.84,stable
5.86,stable
5.88,stable
5.9,stable
5.92,stable
5.94,stable
5.96,stable
5.98,stable
6.0,stable
6.02,stable
6.04,stable
6.06,stable
6.08,stable
6.1,stable
6.12,stable
6.14,stable
6.16,stable
6.18,stable
6.2,stable
6.22,stable
6.24,stable
6.26,stable
6.28,stable
6.3,stable
6.32,stable
6.34,stable
6.36,stable
6.38,stable
6.4,stable
6.42,stable
6.44,stable
6.46,stable
6.48,stable
6.5,stable
6.52,stable
6.54,stable
6.56,stable
6.58,stable
6.6,stable
6.62,stable
6.64,stable
6.66,stable
6.68,stable
6.7,stable
6.72,stable
6.74,stable
6.76,stable
6.78,stable
6.8,stable
6.82,stable
6.84,stable
6.86,stable
6.88,stable
6.9,stable
6.92,stable
6.94,stable
6.96,stable
6.98,stable
7.0,stable
7.02,stable
7.04,stable
7.06,stable
7.08,stable
7.1,stable
7.12,stable
7.14,stable
7.16,stable
7.18,stable
7.2,stable
7.22,stable
7.24,stable
7.26,stable
7.28,stable
7.3,stable
7.32,stable
7.34,stable
7.36,stable
7.38,stable
7.4,stable
7.42,stable
7.44,stable
7.46,stable
7.48,stable
7.5,stable
7.52,stable
7.54,stable
7.56,stable
7.58,stable
7.6,stable
7.62,stable
7.64,stable
7.66,stable
7.68,stable
7.7,stable
7.72,stable
7.74,stable
7.76,stable
7.78,stable
7.8,stable
7.82,stable
7.84,stable
7.86,stable
7.88,stable
7.9,stable
7.92,stable
7.94,stable
7.96,stable
7.98,stable
8.0,stable
8.02,stable
8.04,stable
8.06,stable
8.08,stable
8.1,stable
8.12,stable
8.14,stable
8.16,stable
8.18,stable
8.2,stable
8.22,stable
8.24,stable
8.26,stable
8.28,stable
8.3,stable
8.32,stable
8.34,stable
8.36,stable
8.38,stable
8.4,stable
8.42,stable
8.44,stable
8.46,stable
8.48,stable
8.5,stable
8.52,stable
8.54,stable
8.56,stable
8.58,stable
8.6,stable
8.62,stable
8.64,stable
8.66,stable
8.68,stable
8.7,stable
8.72,stable
8.74,stable
8.76,stable
8.78,stable
8.8,stable
8.82,stable
8.84,stable
8.86,stable
8.88,stable
8.9,stable
8.92,stable
8.94,stable
8.96,stable
8.98,stable
9.0,stable
9.02,stable
9.04,stable
9.06,stable
9.08,stable
9.1,stable
9.12,stable
9.14,stable
9.16,stable
9.18,stable
9.2,stable
9.22,stable
9.24,stable
9.26,stable
9.28,stable
9.3,stable
9.32,stable
9.34,stable
9.36,stable
9.38,stable
9.4,stable
9.42,stable
9.44,stable
9.46,stable
9.48,stable
9.5,stable
9.52,stable
9.54,stable
9.56,stable
9.58,stable
9.6,stable
9.62,stable
9.64,stable
9.66,stable
9.68,stable
9.7,stable
9.72,stable
9.74,stable
9.76,stable
9.78,stable
9.8,stable
9.82,stable
9.84,stable
9.86,stable
9.88,stable
9.9,stable
9.92,stable
9.94,stable
9.96,stable
9.98,stable
10.0,stable
10.02,stable
10.04,stable
10.06,stable
10.08,stable
10.1,stable
10.12,stable
10.14,stable
10.16,stable
10.18,stable
10.2,stable
10.22,stable
10.24,stable
10.26,stable
10.28,stable
10.3,stable
10.32,stable
10.34,stable
10.36,stable
10.38,stable
10.4,stable
10.42,stable
10.44,stable
10.46,stable
10.48,stable
10.5,stable
10.52,stable
10.54,stable
10.56,stable
10.58,stable
10.6,stable
10.62,stable
10.64,stable
10.66,stable
10.68,stable
10.7,stable
10.72,stable
10.74,stable
10.76,stable
10.78,stable
10.8,stable
10.82,stable
10.84,stable
10.86,stable
10.88,stable
10.9,stable
10.92,stable
10.94,stable
10.96,stable
10.98,stable
11.0,stable
11.02,stable
11.04,stable
11.06,stable
11.08,stable
11.1,stable
11.12,stable
11.14,stable
11.16,stable
11.18,stable
11.2,stable
11.22,stable
11.24,stable
11.26,stable
11.28,stable
11.3,stable
11.32,stable
11.34,stable
11.36,stable
11.38,stable
11.4,stable
11.42,stable
11.44,stable
11.46,stable
11.48,stable
11.5,stable
11.52,stable
11.54,stable
11.56,stable
11.58,stable
11.6,stable
11.62,stable
11.64,stable
11.66,stable
11.68,stable
11.7,stable
11.72,stable
11.74,stable
11.76,stable
11.78,stable
11.8,stable
11.82,stable
11.84,stable
11.86,stable
11.88,stable
11.9,stable
11.92,stable
11.94,stable
11.96,stable
11.98,stable
12.0,stable
12.02,stable
12.04,stable
12.06,stable
12.08,stable
12.1,stable
12.12,stable
12.14,stable
12.16,stable
12.18,stable
12.2,stable
12.22,stable
12.24,stable
12.26,stable
12.28,stable
12.3,stable
12.32,stable
12.34,stable
12.36,stable
12.38,stable
12.4,stable
12.42,stable
12.44,stable
12.46,stable
12.48,stable
12.5,stable
12.52,stable
12.54,stable
12.56,stable
12.58,stable
12.6,stable
12.62,stable
12.64,stable
12.66,stable
12.68,stable
12.7,stable
12.72,stable
12.74,stable
12.76,stable
12.78,stable
12.8,stable
12.82,stable
12.84,stable
12.86,stable
12.88,stable
12.9,stable
12.92,stable
12.94,stable
12.96,stable
12.98,stable
13.0,stable
13.02,stable
13.04,stable
13.06,stable
13.08,stable
13.1,stable
13.12,stable
13.14,stable
13.16,stable
13.18,stable
13.2,stable
13.22,stable
13.24,stable
13.26,stable
13.28,stable
13.3,stable
13.32,stable
13.34,stable
13.36,stable
13.38,stable
13.4,stable
13.42,stable
13.44,stable
13.46,stable
13.48,stable
13.5,stable
13.52,stable
13.54,stable
13.56,stable
13.58,stable
13.6,stable
13.62,stable
13.64,stable
13.66,stable
13.68,stable
13.7,stable
13.72,stable
13.74,stable
13.76,stable
13.78,stable
13.8,stable
13.82,stable
13.84,stable
13.86,stable
13.88,stable
13.9,stable
13.92,stable
13.94,stable
13.96,stable
13.98,stable
14.0,stable
14.02,stable
14.04,stable
14.06,stable
14.08,stable
14.1,stable
14.12,stable
14.14,stable
14.16,stable
14.18,stable
14.2,stable
14.22,stable
14.24,stable
14.26,stable
14.28,stable
14.3,stable
14.32,stable
14.34,stable
14.36,stable
14.38,stable
14.4,stable
14.42,stable
14.44,stable
14.46,stable
14.48,stable
14.5,stable
14.52,stable
14.54,stable
14.56,stable
14.58,stable
14.6,stable
14.62,stable
14.64,stable
14.66,stable
14.68,stable
14.7,stable
14.72,stable
14.74,stable
14.76,stable
14.78,stable
14.8,stable
14.82,stable
14.84,stable
14.86,stable
14.88,stable
14.9,stable
14.92,stable
14.94,stable
14.96,stable
14.98,stable
15.0,stable
15.02,stable
15.04,stable
15.06,stable
15.08,stable
15.1,stable
15.12,stable
15.14,stable
15.16,stable
15.18,stable
15.2,stable
15.22,stable
15.24,stable
15.26,stable
15.28,stable
15.3,stable
15.32,stable
15.34,stable
15.36,stable
15.38,stable
15.4,stable
15.42,stable
15.44,stable
15.46,stable
15.48,stable
15.5,stable
15.52,stable
15.54,stable
15.56,stable
15.58,stable
15.6,stable
15.62,stable
15.64,stable
15.66,stable
15.68,stable
15.7,stable
15.72,stable
15.74,stable
15.76,stable
15.78,stable
15.8,stable
15.82,stable
15.84,stable
15.86,stable
15.88,stable
15.9,stable
15.92,stable
15.94,stable
15.96,stable
15.98,stable
16.0,stable
16.02,stable
16.04,stable
16.06,stable
16.08,stable
16.1,stable
16.12,stable
16.14,stable
16.16,stable
16.18,stable
16.2,stable
16.22,stable
16.24,stable
16.26,stable
16.28,stable
16.3,stable
16.32,stable
16.34,stable
16.36,stable
16.38,stable
16.4,stable
16.42,stable
16.44,stable
16.46,stable
16.48,stable
16.5,stable
16.52,stable
16.54,stable
16.56,stable
16.58,stable
16.6,stable
16.62,stable
16.64,stable
16.66,stable
16.68,stable
16.7,stable
16.72,stable
16.74,stable
16.76,stable
16.78,stable
16.8,stable
16.82,stable
16.84,stable
16.86,stable
16.88,stable
16.9,stable
16.92,stable
16.94,stable
16.96,stable
16.98,stable
17.0,stable
17.02,stable
17.04,stable
17.06,stable
17.08,stable
17.1,stable
17.12,stable
17.14,stable
17.16,stable
17.18,stable
17.2,stable
17.22,stable
17.24,stable
17.26,stable
17.28,stable
17.3,stable
17.32,stable
17.34,stable
17.36,stable
17.38,stable
17.4,stable
17.42,stable
17.44,stable
17.46,stable
17.48,stable
17.5,stable
17.52,stable
17.54,stable
17.56,stable
17.58,stable
17.6,stable
17.62,stable
17.64,stable
17.66,stable
17.68,stable
17.7,stable
17.72,stable
17.74,stable
17.76,stable
17.78,stable
17.8,stable
17.82,stable
17.84,stable
17.86,stable
17.88,stable
17.9,stable
17.92,stable
17.94,stable
17.96,stable
17.98,stable
18.0,stable
18.02,stable
18.04,stable
18.06,stable
18.08,stable
18.1,stable
18.12,stable
18.14,stable
18.16,stable
18.18,stable
18.2,stable
18.22,stable
18.24,stable
18.26,stable
18.28,stable
18.3,stable
18.32,stable
18.34,stable
18.36,stable
18.38,stable
18.4,stable
18.42,stable
18.44,stable
18.46,stable
18.48,stable
18.5,stable
18.52,stable
18.54,stable
18.56,stable
18.58,stable
18.6,stable
18.62,stable
18.64,stable
18.66,stable
18.68,stable
18.7,stable
18.72,stable
18.74,stable
18.76,stable
18.78,stable
18.8,stable
18.82,stable
18.84,stable
18.86,stable
18.88,stable
18.9,stable
18.92,stable
18.94,stable
18.96,stable
18.98,stable
19.0,stable
19.02,stable
19.04,stable
19.06,stable
19.08,stable
19.1,stable
19.12,stable
19.14,stable
19.16,stable
19.18,stable
19.2,stable
19.22,stable
19.24,stable
19.26,stable
19.28,stable
19.3,stable
19.32,stable
19.34,stable
19.36,stable
19.38,stable
19.4,stable
19.42,stable
19.44,stable
19.46,stable
19.48,stable
19.5,stable
19.52,stable
19.54,stable
19.56,stable
19.58,stable
19.6,stable
19.62,stable
19.64,stable
19.66,stable
19.68,stable
19.7,stable
19.72,stable
19.74,stable
19.76,stable
19.78,stable
19.8,stable
19.82,stable
19.84,stable
19.86,stable
19.88,stable
19.9,stable
19.92,stable
19.94,stable
19.96,stable
19.98,stable
20.0,stable
20.02,stable
20.04,stable
20.06,stable
20.08,stable
20.1,stable
20.12,stable
20.14,stable
20.16,stable
20.18,stable
20.2,stable
20.22,stable
20.24,stable
20.26,stable
20.28,stable
20.3,stable
20.32,stable
20.34,stable
20.36,stable
20.38,stable
20.4,stable
20.42,stable
20.44,stable
20.46,stable
20.48,stable
20.5,stable
20.52,stable
20.54,stable
20.56,stable
20.58,stable
20.6,stable
20.62,stable
20.64,stable
20.66,stable
20.68,stable
20.7,stable
20.72,stable
20.74,stable
20.76,stable
20.78,stable
20.8,stable
20.82,stable
20.84,stable
20.86,stable
20.88,stable
20.9,stable
20.92,stable
20.94,stable
20.96,stable
20.98,stable
21.0,stable
21.02,stable
21.04,stable
21.06,stable
21.08,stable
21.1,stable
21.12,stable
21.14,stable
21.16,stable
21.18,stable
21.2,stable
21.22,stable
21.24,stable
21.26,stable
21.28,stable
21.3,stable
21.32,stable
21.34,stable
21.36,stable
21.38,stable
21.4,stable
21.42,stable
21.44,stable
21.46,stable
21.48,stable
21.5,stable
21.52,stable
21.54,stable
21.56,stable
21.58,stable
21.6,stable
21.62,stable
21.64,stable
21.66,stable
21.68,stable
21.7,stable
21.72,stable
21.74,stable
21.76,stable
21.78,stable
21.8,stable
21.82,stable
21.84,stable
21.86,stable
21.88,stable
21.9,stable
21.92,stable
21.94,stable
21.96,stable
21.98,stable
22.0,stable
22.02,stable
22.04,stable
22.06,stable
22.08,stable
22.1,stable
22.12,stable
22.14,stable
22.16,stable
22.18,stable
22.2,stable
22.22,stable
22.24,stable
22.26,stable
22.28,stable
22.3,stable
22.32,stable
22.34,stable
22.36,stable
22.38,stable
22.4,stable
22.42,stable
22.44,stable
22.46,stable
22.48,stable
22.5,stable
22.52,stable
22.54,stable
22.56,stable
22.58,stable
22.6,stable
22.62,stable
22.64,stable
22.66,stable
22.68,stable
22.7,stable
22.72,stable
22.74,stable
22.76,stable
22.78,stable
22.8,stable
22.82,stable
22.84,stable
22.86,stable
22.88,stable
22.9,stable
22.92,stable
22.94,stable
22.96,stable
22.98,stable
23.0,stable
23.02,stable
23.04,stable
23.06,stable
23.08,stable
23.1,stable
23.12,stable
23.14,stable
23.16,stable
23.18,stable
23.2,stable
23.22,stable
23.24,stable
23.26,stable
23.28,stable
23.3,stable
23.32,stable
23.34,stable
23.36,stable
23.38,stable
23.4,stable
23.42,stable
23.44,stable
23.46,stable
23.48,stable
23.5,stable
23.52,stable
23.54,stable
23.56,stable
23.58,stable
23.6,stable
23.62,stable
23.64,stable
23.66,stable
23.68,stable
23.7,stable
23.72,stable
23.74,stable
23.76,stable
23.78,stable
23.8,stable
23.82,stable
23.84,stable
23.86,stable
23.88,stable
23.9,stable
23.92,stable
23.94,stable
23.96,stable
23.98,stable
24.0,stable
24.02,stable
24.04,stable
24.06,stable
24.08,stable
24.1,stable
24.12,stable
24.14,stable
24.16,stable
24.18,stable
24.2,stable
24.22,stable
24.24,stable
24.26,stable
24.28,stable
24.3,stable
24.32,stable
24.34,stable
24.36,stable
24.38,stable
24.4,stable
24.42,stable
24.44,stable
24.46,stable
24.48,stable
24.5,stable
24.52,stable
24.54,stable
24.56,stable
24.58,stable
24.6,stable
24.62,stable
24.64,stable
24.66,stable
24.68,stable
24.7,stable
24.72,stable
24.74,stable
24.76,stable
24.78,stable
24.8,stable
24.82,stable
24.84,stable
24.86,stable
24.88,stable
24.9,stable
24.92,stable
24.94,stable
24.96,stable
24.98,stable
25.0,stable
25.02,stable
25.04,stable
25.06,stable
25.08,stable
25.1,stable
25.12,stable
25.14,stable
25.16,stable
25.18,stable
25.2,stable
25.22,stable
25.24,stable
25.26,stable
25.28,stable
25.3,stable
25.32,stable
25.34,stable
25.36,stable
25.38,stable
25.4,stable
25.42,stable
25.44,stable
25.46,stable
25.48,stable
25.5,stable
25.52,stable
25.54,stable
25.56,stable
25.58,stable
25.6,stable
25.62,stable
25.64,stable
25.66,stable
25.68,stable
25.7,stable
25.72,stable
25.74,stable
25.76,stable
25.78,stable
25.8,stable
25.82,stable
25.84,stable
25.86,stable
25.88,stable
25.9,stable
25.92,stable
25.94,stable
25.96,stable
25.98,stable
26.0,stable
26.02,stable
26.04,stable
26.06,stable
26.08,stable
26.1,stable
26.12,stable
26.14,stable
26.16,stable
26.18,stable
26.2,stable
26.22,stable
26.24,stable
26.26,stable
26.28,stable
26.3,stable
26.32,stable
26.34,stable
26.36,stable
26.38,stable
26.4,stable
26.42,stable
26.44,stable
26.46,stable
26.48,stable
26.5,stable
26.52,stable
26.54,stable
26.56,stable
26.58,stable
26.6,stable
26.62,stable
26.64,stable
26.66,stable
26.68,stable
26.7,stable
26.72,stable
26.74,stable
26.76,stable
26.78,stable
26.8,stable
26.82,stable
26.84,stable
26.86,stable
26.88,stable
26.9,stable
26.92,stable
26.94,stable
26.96,stable
26.98,stable
27.0,stable
27.02,stable
27.04,stable
27.06,stable
27.08,stable
27.1,stable
27.12,stable
27.14,stable
27.16,stable
27.18,stable
27.2,stable
27.22,stable
27.24,stable
27.26,stable
27.28,stable
27.3,stable
27.32,stable
27.34,stable
27.36,stable
27.38,stable
27.4,stable
27.42,stable
27.44,stable
27.46,stable
27.48,stable
27.5,stable
27.52,stable
27.54,stable
27.56,stable
27.58,stable
27.6,stable
27.62,stable
27.64,stable
27.66,stable
27.68,stable
27.7,stable
27.72,stable
27.74,stable
27.76,stable
27.78,stable
27.8,stable
27.82,stable
27.84,stable
27.86,stable
27.88,stable
27.9,stable
27.92,stable
27.94,stable
27.96,stable
27.98,stable
28.0,stable
28.02,stable
28.04,stable
28.06,stable
28.08,stable
28.1,stable
28.12,stable
28.14,stable
28.16,stable
28.18,stable
28.2,stable
28.22,stable
28.24,stable
28.26,stable
28.28,stable
28.3,stable
28.32,stable
28.34,stable
28.36,stable
28.38,stable
28.4,stable
28.42,stable
28.44,stable
28.46,stable
28.48,stable
28.5,stable
28.52,stable
28.54,stable
28.56,stable
28.58,stable
28.6,stable
28.62,stable
28.64,stable
28.66,stable
28.68,stable
28.7,stable
28.72,stable
28.74,stable
28.76,stable
28.78,stable
28.8,stable
28.82,stable
28.84,stable
28.86,stable
28.88,stable
28.9,stable
28.92,stable
28.94,stable
28.96,stable
28.98,stable
29.0,stable
29.02,stable
29.04,stable
29.06,stable
29.08,stable
29.1,stable
29.12,stable
29.14,stable
29.16,stable
29.18,stable
29.2,stable
29.22,stable
29.24,stable
29.26,stable
29.28,stable
29.3,stable
29.32,stable
29.34,stable
29.36,stable
29.38,stable
29.4,stable
29.42,stable
29.44,stable
29.46,stable
29.48,stable
29.5,stable
29.52,stable
29.54,stable
29.56,stable
29.58,stable
29.6,stable
29.62,stable
29.64,stable
29.66,stable
29.68,stable
29.7,stable
29.72,stable
29.74,stable
29.76,stable
29.78,stable
29.8,stable
29.82,stable
29.84,stable
29.86,stable
29.88,stable
29.9,stable
29.92,stable
29.94,stable
29.96,stable
29.98,stable
30.0,stable
30.02,stable
30.04,stable
30.06,stable
30.08,stable
30.1,stable
30.12,stable
30.14,stable
30.16,stable
30.18,stable
30.2,stable
30.22,stable
30.24,stable
30.26,stable
30.28,stable
30.3,stable
30.32,stable
30.34,stable
30.36,stable
30.38,stable
30.4,stable
30.42,stable
30.44,stable
30.46,stable
30.48,stable
30.5,stable
30.52,stable
30.54,stable
30.56,stable
30.58,stable
30.6,stable
30.62,stable
30.64,stable
30.66,stable
30.68,stable
30.7,stable
30.72,stable
30.74,stable
30.76,stable
30.78,stable
30.8,stable
30.82,stable
30.84,stable
30.86,stable
30.88,stable
30.9,stable
30.92,stable
30.94,stable
30.96,stable
30.98,stable
31.0,stable
31.02,stable
31.04,stable
31.06,stable
31.08,stable
31.1,stable
31.12,stable
31.14,stable
31.16,stable
31.18,stable
31.2,stable
31.22,stable
31.24,stable
31.26,stable
31.28,stable
31.3,stable
31.32,stable
31.34,stable
31.36,stable
31.38,stable
31.4,stable
31.42,stable
31.44,stable
31.46,stable
31.48,stable
31.5,stable
31.52,stable
31.54,stable
31.56,stable
31.58,stable
31.6,stable
31.62,stable
31.64,stable
31.66,stable
31.68,stable
31.7,stable
31.72,stable
31.74,stable
31.76,stable
31.78,stable
31.8,stable
31.82,stable
31.84,stable
31.86,stable
31.88,stable
31.9,stable
31.92,stable
31.94,stable
31.96,stable
31.98,stable
32.0,stable
32.02,stable
32.04,stable
32.06,stable
32.08,stable
32.1,stable
32.12,stable
32.14,stable
32.16,stable
32.18,stable
32.2,stable
32.22,stable
32.24,stable
32.26,stable
32.28,stable
32.3,stable
32.32,stable
32.34,stable
32.36,stable
32.38,stable
32.4,stable
32.42,stable
32.44,stable
32.46,stable
32.48,stable
32.5,stable
32.52,stable
32.54,stable
32.56,stable
32.58,stable
32.6,stable
32.62,stable
32.64,stable
32.66,stable
32.68,stable
32.7,stable
32.72,stable
32.74,stable
32.76,stable
32.78,stable
32.8,stable
32.82,stable
32.84,stable
32.86,stable
32.88,stable
32.9,stable
32.92,stable
32.94,stable
32.96,stable
32.98,stable
33.0,stable
33.02,stable
33.04,stable
33.06,stable
33.08,stable
33.1,stable
33.12,stable
33.14,stable
33.16,stable
33.18,stable
33.2,stable
33.22,stable
33.24,stable
33.26,stable
33.28,stable
33.3,stable
33.32,stable
33.34,stable
33.36,stable
33.38,stable
33.4,stable
33.42,stable
33.44,stable
33.46,stable
33.48,stable
33.5,stable
33.52,stable
33.54,stable
33.56,stable
33.58,stable
33.6,stable
33.62,stable
33.64,stable
33.66,stable
33.68,stable
33.7,stable
33.72,stable
33.74,stable
33.76,stable
33.78,stable
33.8,stable
33.82,stable
33.84,stable
33.86,stable
33.88,stable
33.9,stable
33.92,stable
33.94,stable
33.96,stable
33.98,stable
34.0,stable
34.02,stable
34.04,stable
34.06,stable
34.08,stable
34.1,stable
34.12,stable
34.14,stable
34.16,stable
34.18,stable
34.2,stable
34.22,stable
34.24,stable
34.26,stable
34.28,stable
34.3,stable
34.32,stable
34.34,stable
34.36,stable
34.38,stable
34.4,stable
34.42,stable
34.44,stable
34.46,stable
34.48,stable
34.5,stable
34.52,stable
34.54,stable
34.56,stable
34.58,stable
34.6,stable
34.62,stable
34.64,stable
34.66,stable
34.68,stable
34.7,stable
34.72,stable
34.74,stable
34.76,stable
34.78,stable
34.8,stable
34.82,stable
34.84,stable
34.86,stable
34.88,stable
34.9,stable
34.92,stable
34.94,stable
34.96,stable
34.98,stable
35.0,stable
35.02,stable
35.04,stable
35.06,stable
35.08,stable
35.1,stable
35.12,stable
35.14,stable
35.16,stable
35.18,stable
35.2,stable
35.22,stable
35.24,stable
35.26,stable
35.28,stable
35.3,stable
35.32,stable
35.34,stable
35.36,stable
35.38,stable
35.4,stable
35.42,stable
35.44,stable
35.46,stable
35.48,stable
35.5,stable
35.52,stable
35.54,stable
35.56,stable
35.58,stable
35.6,stable
35.62,stable
35.64,stable
35.66,stable
35.68,stable
35.7,stable
35.72,stable
35.74,stable
35.76,stable
35.78,stable
35.8,stable
35.82,stable
35.84,stable
35.86,stable
35.88,stable
35.9,stable
35.92,stable
35.94,stable
35.96,stable
35.98,stable
36.0,stable
36.02,stable
36.04,stable
36.06,stable
36.08,stable
36.1,stable
36.12,stable
36.14,stable
36.16,stable
36.18,stable
36.2,stable
36.22,stable
36.24,stable
36.26,stable
36.28,stable
36.3,stable
36.32,stable
36.34,stable
36.36,stable
36.38,stable
36.4,stable
36.42,stable
36.44,stable
36.46,stable
36.48,stable
36.5,stable
36.52,stable
36.54,stable
36.56,stable
36.58,stable
36.6,stable
36.62,stable
36.64,stable
36.66,stable
36.68,stable
36.7,stable
36.72,stable
36.74,stable
36.76,stable
36.78,stable
36.8,stable
36.82,stable
36.84,stable
36.86,stable
36.88,stable
36.9,stable
36.92,stable
36.94,stable
36.96,stable
36.98,stable
37.0,stable
37.02,stable
37.04,stable
37.06,stable
37.08,stable
37.1,stable
37.12,stable
37.14,stable
37.16,stable
37.18,stable
37.2,stable
37.22,stable
37.24,stable
37.26,stable
37.28,stable
37.3,stable
37.32,stable
37.34,stable
37.36,stable
37.38,stable
37.4,stable
37.42,stable
37.44,stable
37.46,stable
37.48,stable
37.5,stable
37.52,stable
37.54,stable
37.56,stable
37.58,stable
37.6,stable
37.62,stable
37.64,stable
37.66,stable
37.68,stable
37.7,stable
37.72,stable
37.74,stable
37.76,stable
37.78,stable
37.8,stable
37.82,stable
37.84,stable
37.86,stable
37.88,stable
37.9,stable
37.92,stable
37.94,stable
37.96,stable
37.98,stable
38.0,stable
38.02,stable
38.04,stable
38.06,stable
38.08,stable
38.1,stable
38.12,stable
38.14,stable
38.16,stable
38.18,stable
38.2,stable
38.22,stable
38.24,stable
38.26,stable
38.28,stable
38.3,stable
38.32,stable
38.34,stable
38.36,stable
38.38,stable
38.4,stable
38.42,stable
38.44,stable
38.46,stable
38.48,stable
38.5,stable
38.52,stable
38.54,stable
38.56,stable
38.58,stable
38.6,stable
38.62,stable
38.64,stable
38.66,stable
38.68,stable
38.7,stable
38.72,stable
38.74,stable
38.76,stable
38.78,stable
38.8,stable
38.82,stable
38.84,stable
38.86,stable
38.88,stable
38.9,stable
38.92,stable
38.94,stable
38.96,stable
38.98,stable
39.0,stable
39.02,stable
39.04,stable
39.06,stable
39.08,stable
39.1,stable
39.12,stable
39.14,stable
39.16,stable
39.18,stable
39.2,stable
39.22,stable
39.24,stable
39.26,stable
39.28,stable
39.3,stable
39.32,stable
39.34,stable
39.36,stable
39.38,stable
39.4,stable
39.42,stable
39.44,stable
39.46,stable
39.48,stable
39.5,stable
39.52,stable
39.54,stable
39.56,stable
39.58,stable
39.6,stable
39.62,stable
39.64,stable
39.66,stable
39.68,stable
39.7,stable
39.72,stable
39.74,stable
39.76,stable
39.78,stable
39.8,stable
39.82,stable
39.84,stable
39.86,stable
39.88,stable
39.9,stable
39.92,stable
39.94,stable
